Release Clause Score,50,
Offered Role Equal,25,
Offered Role Greater,50,
Offered Role Lower,-25,
Another Club Accepted,0,
Another Club Pending,0,
Free Agent Points,50,
,,
Team Overall >=,Score,
83,100,
76,80,
70,60,
60,40,
50,30,
1,20,
,,
League Rank,Score,
0,100,
1,75,
2,50,
3,25,
4,0,
,,
Current Contract Years,Score,
0,100,
1,75,
2,50,
3,25,
4,10,
5,0,
,,
Offered Contract Years,Score,
0,25,
1,15,
2,20,
3,25,
4,25,
5,25,
,,
Time At Club,Score,
6,0,
12,10,
24,25,
36,50,
48,75,
60,100,
,,
Preferred Position Available,Score,Comment
0,50,Fallback Case
1,50,Player first preffered position found
2,25,
3,0,
4,-25,
